"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "XML", "comment", "blank", "total"
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\Api\APICalls.ts", "TypeScript", 0, 0, 355, 0, 4, 62, 421
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\Api\AuthSession.ts", "TypeScript", 0, 0, 91, 0, 0, 16, 107
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\App.css", "PostCSS", 0, 36, 0, 0, 0, 6, 42
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\App.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 4, 37
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\Layouts\AuthPagesLayout.tsx", "TypeScript JSX", 41, 0, 0, 0, 2, 5, 48
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\Layouts\BlurWrapper.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 3, 17
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\Layouts\MainLayout.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 4, 31
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\Layouts\ScreenWrapper.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 3, 19
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\assets\AuthBackground.tsx", "TypeScript JSX", 35, 0, 0, 0, 2, 3, 40
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\assets\MainBackground.tsx", "TypeScript JSX", 35, 0, 0, 0, 2, 3, 40
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\components\auth\AuthFormCard.tsx", "TypeScript JSX", 53, 0, 0, 0, 5, 5, 63
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\components\auth\FormInput.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 6, 40
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\components\auth\LoginButton.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 2, 17
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\components\custom\DisplayCardLetters.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 3, 39
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\components\custom\DisplaySign.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 3, 46
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\components\custom\GoogleButton.tsx", "TypeScript JSX", 42, 0, 0, 0, 6, 3, 51
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\components\custom\HowToUse.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 12, 105
"d:\work\web developemt\projects\GraduationProjectDotNet-Deploy\frontend\src\components\custom\Keyboard.tsx", "TypeScript JSX", 216, 0, 0, 0, 2, 32, 250
